TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,235,11.862599,33.654534,38.833409,42.676448,7.940313,11.151932,32.909048,31.070373,30.809301,35.234180,33.610218,38.826893,42.665888,3.171105,10905.44,3.37,75293268995398,22143054329,38698076767554,12454600201,f6e153348a838c2f4ce0f3827eeb50a2,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,18459.863828,39.937828,44.311912,45.227508,11.963722,19.099001,99.716529,98.617309,42.082668,39.990452,39.801918,44.266188,45.197721,0.103954,817261.43,17.75,4785853973115416,82266831965,2119752162736113,48935686590,44d15d6b8dca263e7d225ddcd17853fd,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,4589.763467,38.037196,43.155494,44.219726,10.642371,16.755133,94.710519,92.499880,38.321208,38.615788,37.985707,43.137054,44.207282,0.138223,561765.19,14.70,3263382614392712,62663102544,1454363361488367,39905501787,4856e78ec891f373995e492678bf6a96,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1541.529240,35.954072,41.791257,42.864833,9.346004,14.278256,83.815906,81.364448,34.532818,37.074643,35.896045,41.763078,42.842597,0.284156,425329.54,9.77,2519273763202687,56225241897,1104416975394675,27604677310,1d2cd123c2e3d380271408dc4e0471bb,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,587.523246,33.550593,40.378110,41.321446,7.995834,11.541339,66.035780,63.770557,30.798272,35.336117,33.485917,40.332878,41.290363,0.510768,161448.61,5.95,1260267563276125,43157698747,450907059359410,16615278520,cc25f9b2f3db2b712004aa46c1356077,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,217.639591,31.112573,38.717579,39.646589,6.897686,9.044270,47.473511,45.453348,27.558645,33.418041,31.056384,38.654960,39.612577,0.860182,75248.82,5.02,612843083592228,33845706837,259180630166372,18572556463,46931bda9ab26a880f625f37f353843a,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,79.891801,28.814033,37.088686,37.860004,6.179700,7.127175,32.581944,31.051914,24.923422,31.491222,28.768015,37.031365,37.834952,1.105525,42650.16,4.32,279355984525544,24952544739,114153906580164,12358402053,4aba8b5954da0824e20bbc01486fd974,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,110,26441.040000,40.489374,47.232800,46.879902,15.022442,22.281895,99.974926,99.968683,43.986609,42.061540,40.279560,46.964900,46.651925,0.072357,833749.52,29.19,4656163255767413,128698591861,2159640239277246,79429193890,444af62203532afbd7ce46d1db43f603,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,135,10644.742154,36.794537,44.237452,43.888815,12.165651,18.439503,99.967630,99.948336,38.034379,38.905563,36.610191,43.921486,43.644938,0.070811,957272.56,18.82,5254290614906336,95061552433,2475232647409725,51631344465,12ef025dd89b424a1fe37d6738d43e77,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,160,4184.052923,33.360578,41.291215,41.004505,9.546768,14.730749,94.614639,92.672715,32.611413,35.890504,33.181222,40.932412,40.745009,0.074154,842150.45,11.51,5898720669894513,73734375900,2351826603247818,32133917409,339878df34bbbc69b2db9ad03e7571f5,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,185,1552.366154,30.174366,38.601180,38.421322,7.288752,11.228521,73.884578,71.734866,27.930015,33.035677,29.992997,38.238212,38.199237,0.073976,564542.46,12.12,3251004799017383,63096763486,1465347719385643,34145723263,91344229f4098522c2e9082a6b7a8c12,
